Id,Nom de l'appellation,Hiérarchie,Vignoble
1232,Roussette de Savoie Frangy,Communale,Savoie
1233,Roussette de Savoie Marestel,Communale,Savoie
1234,Roussette de Savoie Monterminod,Communale,Savoie
1235,Roussette de Savoie Monthoux,Communale,Savoie
1236,Roussette du Bugey,Communale,Bugey
1237,Roussette du Bugey Montagnieu,Communale,Bugey
1238,Roussette du Bugey Virieu-le-Grand,Communale,Bugey
1239,Ruchottes-Chambertin,Grand Cru,Côte de Nuits
1240,Rully,Communale,Côte chalonnaise
1241,Rully Premier Cru,Groupe de Premiers Crus,Côte chalonnaise
1242,Rully Premier Cru Agneux,Premier Cru,Côte chalonnaise
1243,Rully Premier Cru Champs Cloux,Premier Cru,Côte chalonnaise
1244,Rully Premier Cru Chapitre,Premier Cru,Côte chalonnaise
1245,Rully Premier Cru Clos du Chaigne,Premier Cru,Côte chalonnaise
1246,Rully Premier Cru Clos St Jacques,Premier Cru,Côte chalonnaise
1247,Rully Premier Cru Cloux,Premier Cru,Côte chalonnaise
1248,Rully Premier Cru Grésigny,Premier Cru,Côte chalonnaise
1249,Rully Premier Cru La Bressande,Premier Cru,Côte chalonnaise
1250,Rully Premier Cru La Fosse,Premier Cru,Côte chalonnaise
1251,Rully Premier Cru La Pucelle,Premier Cru,Côte chalonnaise
1252,Rully Premier Cru La Renarde,Premier Cru,Côte chalonnaise
1253,Rully Premier Cru Le Meix Cadot,Premier Cru,Côte chalonnaise
1254,Rully Premier Cru Le Meix Caillet,Premier Cru,Côte chalonnaise
1255,Rully Premier Cru Les Pierres,Premier Cru,Côte chalonnaise
1256,Rully Premier Cru Margotés,Premier Cru,Côte chalonnaise
1257,Rully Premier Cru Marissou,Premier Cru,Côte chalonnaise
1258,Rully Premier Cru Molesme,Premier Cru,Côte chalonnaise
1259,Rully Premier Cru Montpalais,Premier Cru,Côte chalonnaise
1260,Rully Premier Cru Pillot,Premier Cru,Côte chalonnaise
1261,Rully Premier Cru Préaux,Premier Cru,Côte chalonnaise
1262,Rully Premier Cru Rabourcé,Premier Cru,Côte chalonnaise
1263,Rully Premier Cru Raclot,Premier Cru,Côte chalonnaise
1264,Rully Premier Cru Vauvry,Premier Cru,Côte chalonnaise
1265,Sable de Camargue,IGP,France
1266,Saint-Amour,Premier Cru,Crus du Beaujolais
1267,Saint-Aubin,Communale,Côte de Beaune
1268,Saint-Aubin ou Saint-Aubin Côte de Beaune,,
1269,Saint-Aubin Premier Cru,Groupe de Premiers Crus,Côte de Beaune
1270,Saint-Aubin Premier Cru Bas de Vermarain à l'Est,Premier Cru,Côte de Beaune
1271,Saint-Aubin Premier Cru Derrière Chez Edouard,Premier Cru,Côte de Beaune
1272,Saint-Aubin Premier Cru Derrière la Tour,Premier Cru,Côte de Beaune
1273,Saint-Aubin Premier Cru Echaille,Premier Cru,Côte de Beaune
1274,Saint-Aubin Premier Cru En Créot,Premier Cru,Côte de Beaune
1275,Saint-Aubin Premier Cru En la Ranché,Premier Cru,Côte de Beaune
1276,Saint-Aubin Premier Cru En Montceau,Premier Cru,Côte de Beaune
1277,Saint-Aubin Premier Cru En Remilly,Premier Cru,Côte de Beaune
1278,Saint-Aubin Premier Cru En Vollon à l'Est,Premier Cru,Côte de Beaune
1279,Saint-Aubin Premier Cru Es Champs,Premier Cru,Côte de Beaune
1280,Saint-Aubin Premier Cru La Chatenière,Premier Cru,Côte de Beaune
1281,Saint-Aubin Premier Cru Le Bas de Gamay à l'Est,Premier Cru,Côte de Beaune
1282,Saint-Aubin Premier Cru Le Charmois,Premier Cru,Côte de Beaune
1283,Saint-Aubin Premier Cru Le Puits,Premier Cru,Côte de Beaune
1284,Saint-Aubin Premier Cru Les Castets,Premier Cru,Côte de Beaune
1285,Saint-Aubin Premier Cru Les Champlots,Premier Cru,Côte de Beaune
1286,Saint-Aubin Premier Cru Les Combes,Premier Cru,Côte de Beaune
1287,Saint-Aubin Premier Cru Les Combes au Sud,Premier Cru,Côte de Beaune
1288,Saint-Aubin Premier Cru Les Cortons,Premier Cru,Côte de Beaune
1289,Saint-Aubin Premier Cru Les Frionnes,Premier Cru,Côte de Beaune
1290,Saint-Aubin Premier Cru Les Murgers des dents de chien,Premier Cru,Côte de Beaune
1291,Saint-Aubin Premier Cru Les Perrières,Premier Cru,Côte de Beaune
1292,Saint-Aubin Premier Cru Les Travers de Marinot,Premier Cru,Côte de Beaune
1293,Saint-Aubin Premier Cru Marinot,Premier Cru,Côte de Beaune
1294,Saint-Aubin Premier Cru Pitangeret,Premier Cru,Côte de Beaune
1295,Saint-Aubin Premier Cru Sous Roche Dumay,Premier Cru,Côte de Beaune
1296,Saint-Aubin Premier Cru Sur Gamay,Premier Cru,Côte de Beaune
1297,Saint-Aubin Premier Cru Sur le sentier du Clou,Premier Cru,Côte de Beaune
1298,Saint-Aubin Premier Cru Vignes Moingeon,Premier Cru,Côte de Beaune
1299,Saint-Aubin Premier Cru Village,Premier Cru,Côte de Beaune
1300,Saint-Bris,Communale,Chablisien
1301,Saint-Chinian,Communale,Languedoc
1302,Saint-Chinian Berlou,Communale,Languedoc
1303,Saint-Chinian Roquebrun,Communale,Languedoc
1304,Sainte-Croix-du-Mont,Régionale,Entre-Deux-Mers
1305,Sainte-Foy-Bordeaux,Régionale,Entre-Deux-Mers
1306,Sainte-Marie-la-blanche,IGP,Bourgogne
1307,Saint-Emilion,Communale,Libournais
1308,Saint-Emilion Grand Cru,Communale,Libournais
1308,Saint-Emilion Grand Cru,Grand Cru,Libournais
1308,Saint-Emilion Grand Cru,Premier Cru,Libournais
1309,Saint-Estèphe,Communale,Médoc
1310,Saint-Georges-Saint-Emilion,Communale,Libournais
1311,Saint-Guilhem-le-Désert,IGP,Languedoc
1312,Saint-Guilhem-le-Désert Cité d'Aniane,IGP,Languedoc
1313,Saint-Guilhem-le-Désert Val de Montferrand,IGP,Languedoc
1314,Saint-Joseph,Communale,Septentrional
1315,Saint-Julien,Communale,Médoc
1316,Saint-Mont,Communale,Piémont Pyrénéen
1317,Saint-Nicolas-de-Bourgueil,Communale,Touraine
1318,Saint-Péray,Communale,Septentrional
1319,Saint-Pourçain,Communale,Centre
1320,Saint-Pourçain Val de Loire,Communale,Centre
1321,Saint-Romain,Communale,Côte de Beaune
1322,Saint-Romain ou Saint-Romain Côte de Beaune,,
1323,Saint-Sardos,Communale,Agen
1324,Saint-Véran,Communale,Mâconnais
1325,Sancerre,Communale,Centre
1326,Santenay,Communale,Côte de Beaune
1327,Santenay ou Santenay Côte de Beaune,,
1328,Santenay Premier Cru,Groupe de Premiers Crus,Côte de Beaune
1329,Santenay Premier Cru Beauregard,Premier Cru,Côte de Beaune
1330,Santenay Premier Cru Beaurepaire,Premier Cru,Côte de Beaune
1331,Santenay Premier Cru Clos des Mouches,Premier Cru,Côte de Beaune
1332,Santenay Premier Cru Clos de Tavannes,Premier Cru,Côte de Beaune
1333,Santenay Premier Cru Clos Faubard,Premier Cru,Côte de Beaune
1334,Santenay Premier Cru Clos Rousseau,Premier Cru,Côte de Beaune
1335,Santenay Premier Cru Grand Clos Rousseau,Premier Cru,Côte de Beaune
1336,Santenay Premier Cru La Comme,Premier Cru,Côte de Beaune
1337,Santenay Premier Cru La Maladière,Premier Cru,Côte de Beaune
1338,Santenay Premier Cru Les Gravières,Premier Cru,Côte de Beaune
1339,Santenay Premier Cru Les Gravières-Clos de Tavannes,Premier Cru,Côte de Beaune
1340,Santenay Premier Cru Passetemps,Premier Cru,Côte de Beaune
1341,Saône-et-Loire,IGP,Bourgogne
1342,Saumur,Régionale,Anjou-Saumur
1343,Saumur-Champigny,Communale,Anjou-Saumur
1344,Saumur Puy-Notre-Dame,Communale,Anjou-Saumur
1345,Saussignac,Communale,Bergerac
1346,Sauternes,Communale,Sauternais
1347,Savennières,Communale,Anjou-Saumur
1348,Savennières Roche aux Moines,Communale,Anjou-Saumur
1349,Savigny-lès-Beaune,Communale,Côte de Beaune
1350,Savigny-lès-Beaune ou Savigny-lès-Beaune Côte de Beaune,,
1351,Savigny-lès-Beaune Premier Cru,Groupe de Premiers Crus,Côte de Beaune
1352,Savigny-lès-Beaune Premier Cru Aux Clous,Premier Cru,Côte de Beaune
1353,Savigny-lès-Beaune Premier Cru Aux Fourneaux,Premier Cru,Côte de Beaune
1354,Savigny-lès-Beaune Premier Cru Aux Gravains,Premier Cru,Côte de Beaune
1355,Savigny-lès-Beaune Premier Cru Aux Guettes,Premier Cru,Côte de Beaune
1356,Savigny-lès-Beaune Premier Cru Aux Serpentières,Premier Cru,Côte de Beaune
1357,Savigny-lès-Beaune Premier Cru Basses Vergelesses,Premier Cru,Côte de Beaune
1358,Savigny-lès-Beaune Premier Cru Bataillère,Premier Cru,Côte de Beaune
1359,Savigny-lès-Beaune Premier Cru Champ Chevrey,Premier Cru,Côte de Beaune
1360,Savigny-lès-Beaune Premier Cru La Dominode,Premier Cru,Côte de Beaune
1361,Savigny-lès-Beaune Premier Cru Les Charnières,Premier Cru,Côte de Beaune
1362,Savigny-lès-Beaune Premier Cru Les Hauts Jarrons,Premier Cru,Côte de Beaune
1363,Savigny-lès-Beaune Premier Cru Les Hauts Marconnets,Premier Cru,Côte de Beaune
1364,Savigny-lès-Beaune Premier Cru Les Jarrons,Premier Cru,Côte de Beaune
1365,Savigny-lès-Beaune Premier Cru Les Lavières,Premier Cru,Côte de Beaune
1366,Savigny-lès-Beaune Premier Cru Les Marconnets,Premier Cru,Côte de Beaune
1367,Savigny-lès-Beaune Premier Cru Les Narbantons,Premier Cru,Côte de Beaune
1368,Savigny-lès-Beaune Premier Cru Les Peuillets,Premier Cru,Côte de Beaune
1369,Savigny-lès-Beaune Premier Cru Les Rouvrettes,Premier Cru,Côte de Beaune
1370,Savigny-lès-Beaune Premier Cru Les Talmettes,Premier Cru,Côte de Beaune
1371,Savigny-lès-Beaune Premier Cru Les Vergelesses,Premier Cru,Côte de Beaune
1372,Savigny-lès-Beaune Premier Cru Petits Godeaux,Premier Cru,Côte de Beaune
1373,Savigny-lès-Beaune Premier Cru Redrescul,Premier Cru,Côte de Beaune
1374,Savoie,Régionale,Savoie
1376,Savoie Apremont,Communale,Savoie
1377,Savoie Arbin,Communale,Savoie
1378,Savoie Ayze,Communale,Savoie
1379,Savoie Chautagne,Communale,Savoie
1380,Savoie Chignin,Communale,Savoie
1381,Savoie Chignin-Bergeron,Communale,Savoie
1382,Savoie Crépy,Communale,Savoie
1383,Savoie Cruet,Communale,Savoie
1384,Savoie Jongieux,Communale,Savoie
1386,Savoie Marignan,Communale,Savoie
1387,Savoie Marin,Communale,Savoie
1388,Savoie Montmélian,Communale,Savoie
1389,Savoie Ripaille,Communale,Savoie
1390,Savoie Saint-Jean-de-la-Porte,Communale,Savoie
1391,Savoie Saint-Jeoire-Prieuré,Communale,Savoie
1392,Seyssel,Régionale,Savoie
1393,Tavel,Communale,Méridional
1394,Terrasses du Larzac,Premier Cru,Languedoc
1395,Thézac-Perricard,IGP,Sud-Ouest
1396,Touraine,Régionale,Touraine
1397,Touraine Amboise,Communale,Touraine
1398,Touraine Azay-le-Rideau,Communale,Touraine
1399,Touraine Chenonceaux,Communale,Touraine
1400,Touraine Mesland,Communale,Touraine
1401,Touraine Noble Joué,Communale,Touraine
1402,Touraine Oisly,Communale,Touraine
1403,Tursan,Communale,Piémont Pyrénéen
1404,Urfé,IGP,Auvergne
1405,Urfé Ambierle,IGP,Auvergne
1406,Urfé Trelins,IGP,Auvergne
1407,Vacqueyras,Communale,Méridional
1408,Val de Loire,IGP,Loire
1409,Val de Loire Allier,IGP,Loire
1410,Val de Loire Cher,IGP,Loire
1411,Val de Loire Indre,IGP,Loire
1412,Val de Loire Indre-et-Loire,IGP,Loire
1413,Val de Loire Loire-Atlantique,IGP,Loire
1414,Val de Loire Loiret,IGP,Loire
1415,Val de Loire Loir-et-Cher,IGP,Loire
1416,Val de Loire Maine-et-Loire,IGP,Loire
1417,Val de Loire Marches de Bretagne,IGP,Loire
1418,Val de Loire Nièvre,IGP,Loire
1419,Val de Loire Pays de Retz,IGP,Loire
1420,Val de Loire Sarthe,IGP,Loire
1421,Val de Loire Vendée,IGP,Loire
1422,Val de Loire Vienne,IGP,Loire
1423,Valençay,Régionale,Centre
1424,Vallée du Paradis,IGP,Languedoc
1425,Vallée du Torgan,IGP,Roussillon
1426,Var,IGP,Provence
1427,Var Argens,IGP,Provence
1428,Var Coteaux du Verdon,IGP,Provence
1429,Var Sainte Baume,IGP,Provence
1430,Vaucluse,IGP,Méridional
1431,Vaucluse Aigues,IGP,Méridional
1432,Vaucluse Principauté d'Orange,IGP,Méridional
1433,Ventoux,Communale,Méridional
1434,Vézelay,Communale,Auxerrois
1435,Vicomté d'Aumelas,IGP,Languedoc
1436,Vicomté d'Aumelas Vallée Dorée,IGP,Languedoc
1437,Vin de Corse Calvi ou Corse Calvi,Communale,Corse
1438,Vin de Corse Coteaux du Cap Corse ou Corse Coteaux du Cap Corse,Communale,Corse
1439,Vin de Corse ou Corse,Communale,Corse
1440,Vin de Corse ou Corse Figari,Communale,Corse
1441,Vin de Corse Porto-Vecchio ou Corse Porto-Vecchio,Communale,Corse
1442,Vin de Corse Sartène ou Corse Sartène,Communale,Corse
1443,Vin des Allobroges,IGP,Savoie
1444,Vin de Savoie Abymes ou Les Abymes,Communale,Savoie
1445,Vin de Savoie Apremont,Communale,Savoie
1446,Vin de Savoie Arbin,Communale,Savoie
1447,Vin de Savoie Ayze,Communale,Savoie
1448,Vin de Savoie Chautagne,Communale,Savoie
1449,Vin de Savoie Chignin,Communale,Savoie
1450,Vin de Savoie Chignin-Bergeron,Communale,Savoie
1451,Vin de Savoie Crépy,Communale,Savoie
1452,Vin de Savoie Cruet,Communale,Savoie
1453,Vin de Savoie Jongieux,Communale,Savoie
1454,Vin de Savoie Marignan,Communale,Savoie
1455,Vin de Savoie Marin,Communale,Savoie
1456,Vin de Savoie Montmélian,Communale,Savoie
1457,Vin de Savoie ou Savoie,Régionale,Savoie
1458,Vin de Savoie Ripaille,Communale,Savoie
1459,Vin de Savoie Saint-Jean-de-la-Porte,Communale,Savoie
1460,Vin de Savoie Saint-Jeoire-Prieuré,Communale,Savoie
1461,Vinsobres,Communale,Méridional
1462,Viré-Clessé,Communale,Mâconnais
1463,Volnay,Communale,Côte de Beaune
1464,Volnay Premier Cru,Groupe de Premiers Crus,Côte de Beaune
1465,Volnay Premier Cru Carelle sous la Chapelle,Premier Cru,Côte de Beaune
1466,Volnay Premier Cru Champans,Premier Cru,Côte de Beaune
1467,Volnay Premier Cru Clos de la Barre,Premier Cru,Côte de Beaune
1468,Volnay Premier Cru Clos de la Bousse-d'Or,Premier Cru,Côte de Beaune
1469,Volnay Premier Cru Clos de la Cave des Ducs,Premier Cru,Côte de Beaune
1470,Volnay Premier Cru Clos de la Chapelle,Premier Cru,Côte de Beaune
1471,Volnay Premier Cru Clos de la Rougeotte,Premier Cru,Côte de Beaune
1472,Volnay Premier Cru Clos de l'Audignac,Premier Cru,Côte de Beaune
1473,Volnay Premier Cru Clos des 60 ouvrées,Premier Cru,Côte de Beaune
1474,Volnay Premier Cru Clos des Chênes,Premier Cru,Côte de Beaune
1475,Volnay Premier Cru Clos des Ducs,Premier Cru,Côte de Beaune
1476,Volnay Premier Cru Clos du Château des Ducs,Premier Cru,Côte de Beaune
1477,Volnay Premier Cru Clos du Verseuil,Premier Cru,Côte de Beaune
1478,Volnay Premier Cru En Chevret,Premier Cru,Côte de Beaune
1479,Volnay Premier Cru Frémiets,Premier Cru,Côte de Beaune
1480,Volnay Premier Cru Frémiets - Clos de la Rougeotte,Premier Cru,Côte de Beaune
1481,Volnay Premier Cru La Gigotte,Premier Cru,Côte de Beaune
1482,Volnay Premier Cru Lassolle,Premier Cru,Côte de Beaune
1483,Volnay Premier Cru Le Ronceret,Premier Cru,Côte de Beaune
1484,Volnay Premier Cru Les Angles,Premier Cru,Côte de Beaune
1485,Volnay Premier Cru Les Brouillards,Premier Cru,Côte de Beaune
1486,Volnay Premier Cru Les Caillerets,Premier Cru,Côte de Beaune
1487,Volnay Premier Cru Les Lurets,Premier Cru,Côte de Beaune
1488,Volnay Premier Cru Les Mitans,Premier Cru,Côte de Beaune
1489,Volnay Premier Cru Le Village,Premier Cru,Côte de Beaune
1490,Volnay Premier Cru Pitures Dessus,Premier Cru,Côte de Beaune
1491,Volnay Premier Cru Robardelle,Premier Cru,Côte de Beaune
1492,Volnay Premier Cru Santenots,Premier Cru,Côte de Beaune
1493,Volnay Premier Cru Taille Pieds,Premier Cru,Côte de Beaune
1494,Vosne-Romanée,Communale,Côte de Nuits
1495,Vosne-Romanée Premier Cru,Groupe de Premiers Crus,Côte de Nuits
1496,Vosne-Romanée Premier Cru Au-dessus des Malconsorts,Premier Cru,Côte de Nuits
1497,Vosne-Romanée Premier Cru Aux Brulées,Premier Cru,Côte de Nuits
1498,Vosne-Romanée Premier Cru Aux Malconsorts,Premier Cru,Côte de Nuits
1499,Vosne-Romanée Premier Cru Aux Raignots,Premier Cru,Côte de Nuits
1500,Vosne-Romanée Premier Cru Clos des Réas,Premier Cru,Côte de Nuits
1501,Vosne-Romanée Premier Cru Cros Parantoux,Premier Cru,Côte de Nuits
1502,Vosne-Romanée Premier Cru En Orveaux,Premier Cru,Côte de Nuits
1503,Vosne-Romanée Premier Cru La Croix Rameau,Premier Cru,Côte de Nuits
1504,Vosne-Romanée Premier Cru Les Beaux Monts,Premier Cru,Côte de Nuits
1505,Vosne-Romanée Premier Cru Les Chaumes,Premier Cru,Côte de Nuits
1506,Vosne-Romanée Premier Cru Les Gaudichots,Premier Cru,Côte de Nuits
1507,Vosne-Romanée Premier Cru Les Petits Monts,Premier Cru,Côte de Nuits
1508,Vosne-Romanée Premier Cru Les Rouges,Premier Cru,Côte de Nuits
1509,Vosne-Romanée Premier Cru Les Suchots,Premier Cru,Côte de Nuits
1510,Vougeot,Communale,Côte de Nuits
1511,Vougeot Premier Cru,Groupe de Premiers Crus,Côte de Nuits
1512,Vougeot Premier Cru Clos de la Perrière,Premier Cru,Côte de Nuits
1513,Vougeot Premier Cru Le Clos Blanc,Premier Cru,Côte de Nuits
1514,Vougeot Premier Cru Les Crâs,Premier Cru,Côte de Nuits
1515,Vougeot Premier Cru Les Petits Vougeots,Premier Cru,Côte de Nuits
1516,Vouvray,Régionale,Touraine
1517,Yonne,IGP,Bourgogne
1518,Champagne Grand Cru Ambonnay,Grand Cru,Champagne
1519,Champagne Grand Cru Tours sur Marne,Grand Cru,Champagne
1520,Champagne Grand Cru Verzenay,Grand Cru,Champagne
1521,Champagne Grand Cru Verzy,Grand Cru,Champagne
1522,Champagne Grand Cru Aÿ,Grand Cru,Champagne
1523,Champagne Grand Cru Avize,Grand Cru,Champagne
1524,Champagne Grand Cru Beaumont-sur-Vesle,Grand Cru,Champagne
1525,Champagne Grand Cru Bouzy,Grand Cru,Champagne
1526,Champagne Grand Cru Chouilly,Grand Cru,Champagne
1527,Champagne Grand Cru Cramant,Grand Cru,Champagne
1528,Champagne Grand Cru Louvois,Grand Cru,Champagne
1529,Champagne Grand Cru Mailly-Champagne,Grand Cru,Champagne
1530,Champagne Grand Cru Le-Mesnil-sur-Oger,Grand Cru,Champagne
1531,Champagne Grand Cru Oger,Grand Cru,Champagne
1532,Champagne Grand Cru Oiry,Grand Cru,Champagne
1533,Champagne Grand Cru Puisieulx,Grand Cru,Champagne
1534,Champagne Grand Cru Sillery,Grand Cru,Champagne
1535,Champagne Premier Cru Mareuil-sur-Aÿ,Premier Cru,Champagne
1536,Champagne Premier Cru Bisseuil,Premier Cru,Champagne
1537,Champagne Premier Cru Bergères-lès-Vertus,Premier Cru,Champagne
1538,Champagne Premier Cru Bezannes,Premier Cru,Champagne
1539,Champagne Premier Cru Billy-le-Grand,Premier Cru,Champagne
1540,Champagne Premier Cru Chamery,Premier Cru,Champagne
1541,Champagne Premier Cru Champillon,Premier Cru,Champagne
1542,Champagne Premier Cru Chigny-lès-Roses,Premier Cru,Champagne
1543,Champagne Premier Cru Coligny,Premier Cru,Champagne
1544,Champagne Premier Cru Cormontreuil,Premier Cru,Champagne
1545,Champagne Premier Cru Coulommes-la-Montagne,Premier Cru,Champagne
1546,Champagne Premier Cru Cuis,Premier Cru,Champagne
1547,Champagne Premier Cru Cumières,Premier Cru,Champagne
1548,Champagne Premier Cru Dizy,Premier Cru,Champagne
1549,Champagne Premier Cru Ecueil,Premier Cru,Champagne
1550,Champagne Premier Cru Etrechy,Premier Cru,Champagne
1551,Champagne Premier Cru Grauves,Premier Cru,Champagne
1552,Champagne Premier Cru Hautvillers,Premier Cru,Champagne
1553,Champagne Premier Cru Jouy-lès-Reims,Premier Cru,Champagne
1554,Champagne Premier Cru Ludes,Premier Cru,Champagne
1555,Champagne Premier Cru Les Mesneux,Premier Cru,Champagne
1556,Champagne Premier Cru Montbré,Premier Cru,Champagne
1557,Champagne Premier Cru Mutigny,Premier Cru,Champagne
1558,Champagne Premier Cru Pargny-lès-Reims,Premier Cru,Champagne
1559,Champagne Premier Cru Pierry,Premier Cru,Champagne
1560,Champagne Premier Cru Rilly-la-Montagne,Premier Cru,Champagne
1561,Champagne Premier Cru Sacy,Premier Cru,Champagne
1562,Champagne Premier Cru Sermiers,Premier Cru,Champagne
1563,Champagne Premier Cru Taissy,Premier Cru,Champagne
1564,Champagne Premier Cru Tauxières,Premier Cru,Champagne
1565,Champagne Premier Cru Trépail,Premier Cru,Champagne
1566,Champagne Premier Cru Trois-Puits,Premier Cru,Champagne
1567,Champagne Premier Cru Vaudemanges,Premier Cru,Champagne
1568,Champagne Premier Cru Vertus,Premier Cru,Champagne
1569,Champagne Premier Cru Villedommange,Premier Cru,Champagne
1570,Champagne Premier Cru Villeneuve-Renneville,Premier Cru,Champagne
1571,Champagne Premier Cru Villers-aux-Noeuds,Premier Cru,Champagne
1572,Champagne Premier Cru Villers-Marmery,Premier Cru,Champagne
1573,Champagne Premier Cru Voipreux,Premier Cru,Champagne
1574,Champagne Premier Cru Vrigny,Premier Cru,Champagne
1575,Champagne Premier Cru Avenay-Val-d'Or,Premier Cru,Champagne
1883,Saint-Pourçain,,
